158,AGLIME (SCAGGS),AGLIME,AGLIME (SCAGGS,source,,,4
164,MORTAR SAND (BRENDAKAY),MORTAR SAND,MORTAR SAND (BRENDAKAY,source,,,4
206,"2 1/2"" CLEAN (ARAB)","2 1/2"" CLEAN","2 1/2"" CLEAN (ARAB",source,,,4
223,HOURLY (SKIDSTEER),HOURLY,HOURLY (SKIDSTEER,hourly_context,,,4
225,"2"" CLEAN BLACK (BUTLER HILL)","2"" CLEAN BLACK","2"" CLEAN BLACK (BUTLER HILL",source,,,4
241,D. BALLAST,D. BALLAST,,,,,4
312,CC FEE (3%),CC FEE,CC FEE (3%,source,,,4
328,MOVING LAB TRAILER,MOVING LAB TRAILER,,,,,4
405,"3"" CLEAN (SEMO)","3"" CLEAN","3"" CLEAN (SEMO",source,,,4
424,"3"" CLEAN (BLUEWING)","3"" CLEAN","3"" CLEAN (BLUEWING",source,,,4
442,"2"" MINUS (STOCKPILE)","2"" MINUS","2"" MINUS (STOCKPILE",source,,,4
469,HOURLY HOLD TIME ,HOURLY HOLD TIME,,,,,4
486,"3"" MINUS (BLUEWING)","3"" MINUS","3"" MINUS (BLUEWING",source,,,4
47,SAWDUST,SAWDUST,,,,,3
67,HOURLY (CONCRETE),HOURLY,HOURLY (CONCRETE,hourly_context,,,3
100,FILL SAND,FILL SAND,,,,,3
108,WASTE ROCK,WASTE ROCK,,,,,3
110,"2"" BASE (CAPITAL)","2"" BASE","2"" BASE (CAPITAL",source,,,3
114,FILL SAND (WS),FILL SAND,FILL SAND (WS,source,,,3
117,"1"" MINUS GRAY (ARAB)","1"" MINUS GRAY","1"" MINUS GRAY (ARAB",source,,,3
118,LANDSCAPE BLEND (BRENDA) 1 1/8,LANDSCAPE BLEND,LANDSCAPE BLEND (BRENDA,source,,,3
125,"FR 1/4"" MINUS (SEMO)","FR 1/4"" MINUS","FR 1/4"" MINUS (SEMO",source,,,3
129,WASTE CONCRETE (SEMO CONCRETE),WASTE CONCRETE,WASTE CONCRETE (SEMO CONCRETE,source,,,3
131,PLANT MOVE,PLANT MOVE,,,,,3
135,DIRT (SAND PIT),DIRT,DIRT (SAND PIT,source,,,3
137,SKID STEER WORK,SKID STEER WORK,,,,,3
150,ASPAHLT SAND (STATE) (BRENDA KAY),ASPAHLT SAND,ASPAHLT SAND (STATE,source,(BRENDA KAY,source,3
168,400# RIP RAP,400# RIP RAP,,,,,3
175,RIP RAP #400 (SEMO),RIP RAP #400,RIP RAP #400 (SEMO,source,,,3
185,HOURLY (CONCRETE HAUL OFF),HOURLY,HOURLY (CONCRETE HAUL OFF,hourly_context,,,3
192,TYPE 2 DITCH LINER (ARAB),TYPE 2 DITCH LINER,TYPE 2 DITCH LINER (ARAB,source,,,3
203,"1"" MINUS (WS & STRACK)","1"" MINUS","1"" MINUS (WS & STRACK",source,,,3
212,"3"" CLEAN (CC)","3"" CLEAN","3"" CLEAN (CC",source,,,3
237,EXCAVATOR WORK,EXCAVATOR WORK,,,,,3
246,"2"" MINUS","2"" MINUS",,,,,3
273,GYPSUM,GYPSUM,,,,,3
274,AG LIME (STRACK-RED),AG LIME,AG LIME (STRACK-RED,source,,,3
284,"1"" C (BACKHAUL)","1"" C","1"" C (BACKHAUL",service,,,3
292,SAND (MALDEN),SAND,SAND (MALDEN,source,,,3
344,HOURLY (CLEAN UP PLANT),HOURLY,HOURLY (CLEAN UP PLANT,hourly_context,,,3
364,HOURLY  MILL DRIVEWAYS,HOURLY  MILL DRIVEWAYS,,,,,3
368,HOURLY REJECTED LOAD ,HOURLY REJECTED LOAD,,,,,3
369,HOURLY MAN SAND,HOURLY MAN SAND,,,,,3
370,"1"" BASE COLT","1"" BASE COLT",,,,,3
389,WOOD CHIPS/MULCH (ELLSINORE),WOOD CHIPS/MULCH,WOOD CHIPS/MULCH (ELLSINORE,source,,,3
419,SHINGLES (WEST PLAINS),SHINGLES,SHINGLES (WEST PLAINS,source,,,3
425,"3/8"" CLEAN (FRUITLAND ASPHALT)","3/8"" CLEAN","3/8"" CLEAN (FRUITLAND ASPHALT",source,,,3
433,OVERSIZE GRAVEL(BLUEWING),OVERSIZE GRAVEL,OVERSIZE GRAVEL(BLUEWING,source,,,3
453,HOURLY (MILLING-SHOULDERS),HOURLY,HOURLY (MILLING-SHOULDERS,hourly_context,,,3
